Titulo,Empresa,Ciudad,Link
Asistente administrativa y contable,ASIGNAR S.A.S,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativa-y-contable-con-experiencia-en-cobro-de-cartera-en-medellin-FAA646C8D03FDE1C61373E686DCF3405#lc=ListOffers-Score6-10
Auxiliar administrativo y línea de frente sector salud,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-y-linea-de-frente-sector-salud-medellin-en-medellin-AED357171078CBCC61373E686DCF3405#lc=ListOffers-Score6-11
Auxiliar administrativo/a,Alianza Temporal S.A.S,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-medellin-en-medellin-CC3EBE130AF9C44361373E686DCF3405#lc=ListOffers-Score6-12
Auxiliar Administrativa en Fondos de Empleados,CONTENTO BPS S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativa-en-fondos-de-empleados-en-medellin-1FA627DE850AB6A261373E686DCF3405#lc=ListOffers-Score6-13
Auxiliar administrativo/a y comercial supernumerario,Jiro S.A.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-y-comercial-supernumerario96553-en-medellin-B5EF28A858BD77A961373E686DCF3405#lc=ListOffers-Score6-14
Técnico Auxiliar de Producción Administrativo/Experiencia en Empresas de Producción,ORGANIZACIÓN SERVICIOS Y ASESORIAS S.A.S.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-auxiliar-de-produccion-administrativoexperiencia-en-empresas-de-produccion-la-estrella-en-medellin-0D6F7CC1EFF074F561373E686DCF3405#lc=ListOffers-Score6-15
Auxiliar administrativo/a,EUROLIFT S.A.S.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-medellin-en-medellin-AB8BFE2F0612E97561373E686DCF3405#lc=ListOffers-Score6-16
Auxiliar Administrativo de Mercadeo,Grupo MP,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-de-mercadeo-en-medellin-039BCA6A3CA5D03E61373E686DCF3405#lc=ListOffers-Score6-17
auxiliar administrativo cafe y confiteria,Soluciones Inmediatas,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-cafe-y-confiteria-sala-de-cine-en-el-area-metropolitana-medellin-en-medellin-10A2B4959E74B4B961373E686DCF3405#lc=ListOffers-Score6-18
auxiliar administrativo cajero,Soluciones Inmediatas,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-cajero-para-empresa-de-cinema-en-medellin-D4E3D9231ED2088D61373E686DCF3405#lc=ListOffers-Score6-0
Auxiliar contable y administrativa,Contrate SA,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-y-administrativa-medellin-en-medellin-8C033EB0DFAE6B0C61373E686DCF3405#lc=ListOffers-Score6-1
Auxiliar financiero y administrativo,EMPRESA DE SERVICIOS TEMPORALES MAXEMPLEOS S.A.S.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-financiero-y-administrativo-contratacion-inmediata-en-medellin-03D7C272E1F123C261373E686DCF3405#lc=ListOffers-Score6-2
Auxiliar Administrativo/a,Supermercados Euro S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-con-o-sin-experiencia-en-medellin-744223F47C683D4461373E686DCF3405#lc=ListOffers-Score6-3
auxiliar administrativo/a CC Arkadia,Mision Empresarial S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-cc-arkadia-en-medellin-8215EAC822ED72A161373E686DCF3405#lc=ListOffers-Score6-4
Auxiliar administrativo/a,SPORT LINE S.A.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-credito-y-cartera-en-medellin-AC50A5B865CDD59961373E686DCF3405#lc=ListOffers-Score6-5
"Representante de servicio al cliente auxiliares administrativos, contables y secretariado. ZP",Teleperformance Colombia,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-representante-de-servicio-al-cliente-auxiliares-administrativos-contables-y-secretariado-zp-en-medellin-B1EAFCAF9A28AE6B61373E686DCF3405#lc=ListOffers-Score6-6
auxiliar administrativo/a,Adecco Colombia S.A.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-contable-en-medellin-5B978CAFF78EA76561373E686DCF3405#lc=ListOffers-Score6-7
Auxiliar administrativa/o y cajera/o,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativao-y-cajerao-apoyo-en-areas-contables-en-medellin-86BD4BC8798DE90A61373E686DCF3405#lc=ListOffers-Score6-8
Auxiliar administrativo en salud  Clínica las Américas,Agencia de Empleo de Comfenalco Antioquia,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-en-salud-clinica-las-americas-en-medellin-BFFAE81F8149CD8A61373E686DCF3405#lc=ListOffers-Score6-9
Auxiliar Administrativa en Salud.,EL COMITE DE REHABILITACION,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativa-en-salud-en-medellin-7A7A25AE567D31C461373E686DCF3405#lc=ListOffers-Score6-10
Auxiliar Administrativo de Transporte,COLECCIÓN TALENTO,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-de-transporte-en-medellin-34E15249A97B6EBE61373E686DCF3405#lc=ListOffers-Score6-11
auxiliar administrativo/a,Tiempos SAS,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-en-medellin-8EE4C7DC9735B7A661373E686DCF3405#lc=ListOffers-Score6-12
"Asesor call center sin experiencia aplica cajeros, mercaderistas, impulsadores, aux administrativos, servicio al cliente",BRM S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-call-center-sin-experiencia-aplica-cajeros-mercaderistas-impulsadores-aux-administrativos-servicio-al-cliente-sector-de-telecomunicaciones-en-medellin-5B43C91FE38DABA061373E686DCF3405#lc=ListOffers-Score6-13
Asistente administrativo  y contable,Jiro S.A.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativo-y-contable-5360-en-medellin-A0DFD7AB7C718B0161373E686DCF3405#lc=ListOffers-Score6-14
Auxiliar Administrativo,IPS Terapias Integrales Domiciliarias,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-medellin-en-medellin-DA3B962B37AAE57961373E686DCF3405#lc=ListOffers-Score6-15
auxiliar administrativo/a,INVERSIONES AIRINI S.A.S.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-tiempo-completo-en-medellin-EFDE12C076C8905D61373E686DCF3405#lc=ListOffers-Score6-16
Asistente Administrativa/ 1 año de experiencia,Saitemp S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativa-1-ano-de-experiencia-en-medellin-1A5651C4927D775861373E686DCF3405#lc=ListOffers-Score6-17
Auxiliar administrativo/a,RUCHETT GROUP SAS,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-en-medellin-306F931DFCC16C2961373E686DCF3405#lc=ListOffers-Score6-18
Asistente administrativo,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativo-en-medellin-05A54BEDE6EEA3F561373E686DCF3405#lc=ListOffers-Score6-19
auxiliar administrativo/a,Expert Medica IPS SAS,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-en-medellin-085C2E61752BD3CE61373E686DCF3405#lc=ListOffers-Score6-0
auxiliar administrativo/a,Neuro Clinica,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-practicante-en-medellin-FF2A93CC60B3EABB61373E686DCF3405#lc=ListOffers-Score6-2
Auxiliar de Caja Fin de Semana,MUEBLES JAMAR S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-caja-fin-de-semana-medellin-tienda-florida-en-medellin-3C7286DF33AEB00261373E686DCF3405#lc=ListOffers-Score5-4
Auxiliar de servicio en biblioteca,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-servicio-en-biblioteca-con-1-ano-de-experiencia-en-medellin-F435DA2A0FD75F5A61373E686DCF3405#lc=ListOffers-Score5-5
Recepcionista administrativo/a,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-recepcionista-administrativoa-en-medellin-934F8E13B605FA6861373E686DCF3405#lc=ListOffers-Score5-6
Auxiliar de cartera,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-cartera-termino-indefinido-medellin-en-medellin-6B8A46B287DF936661373E686DCF3405#lc=ListOffers-Score5-7
Auxiliar operativo bancario /estudio culminado  tecnólogo/a,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-operativo-bancario-estudio-culminado-tecnologoa-conocimiento-operativo-realce-en-medellin-08AAE65681C9211D61373E686DCF3405#lc=ListOffers-Score5-8
Auxiliar de gestión del conocimiento y desarrollo,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-gestion-del-conocimiento-y-desarrollo-en-medellin-2CE3E099ED0E5B3161373E686DCF3405#lc=ListOffers-Score5-9
Auxiliar logístico/a,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-logisticoa-bilingue-rionegro-en-medellin-4351C0262A9DDB6761373E686DCF3405#lc=ListOffers-Score5-10
Auxiliar de tesoreria,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-tesoreria-en-medellin-91C39DAF541B921261373E686DCF3405#lc=ListOffers-Score5-11
Auxiliar logístico/a,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-logisticoa-bilingue-rionegro-en-medellin-FCB52B1897F9699261373E686DCF3405#lc=ListOffers-Score5-12
Auxiliar Fondo de Empleados,CONTENTO BPS S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-fondo-de-empleados-en-medellin-64F3E949F1E7B64161373E686DCF3405#lc=ListOffers-Score5-13
Auxiliar de Admisiones,Viva 1A IPS S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-admisiones-medellin-sede-estadio-8hr--en-medellin-BD513E184511B90E61373E686DCF3405#lc=ListOffers-Score5-14
Auxiliar de Admisiones,Viva 1A IPS S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-admisiones-medellin-sede-prado-8hr--en-medellin-167621980D4A693861373E686DCF3405#lc=ListOffers-Score5-15
Auxiliar de Calidad,Agencia de Empleo de Comfenalco Antioquia,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-calidad-en-medellin-2CA55E50B70EF7C261373E686DCF3405#lc=ListOffers-Score5-16
Auxiliar Cartera,LCN Idiomas,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-cartera-en-medellin-5F176708C5227FC661373E686DCF3405#lc=ListOffers-Score5-17
Auxiliar administrativa de Calidad,PRESENCIA LABORAL S. A. S,"Bogotá, D.C., Bogotá, D.C.",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativa-de-calidad-tecnicas-o-tecnologas-en-alimentos-o-calidad-en-bogota-dc-2A68D3D0A0639BFE61373E686DCF3405#lc=ListOffers-Score5-18
Auxiliar de análisis de datos y mercadeo (enfoque en marketing),Mision Empresarial S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-analisis-de-datos-y-mercadeo-enfoque-en-marketing-en-medellin-AFB072430B8DFBF261373E686DCF3405#lc=ListOffers-Score5-19
Auxiliar contable,A'HORA S.A.S.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-empresa-de-lacteos-en-la-ciudad-de-medellin-en-medellin-C13161A6C8C22DC861373E686DCF3405#lc=ListOffers-Score5-0
Auxiliar contable,A'HORA S.A.S.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-en-medellin-93A7F5C98EE7D8B961373E686DCF3405#lc=ListOffers-Score5-1
Auxiliar SAC Canal Especializado,TCC,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-sac-canal-especializado-en-medellin-2780427F78F5A1D561373E686DCF3405#lc=ListOffers-Score5-2
Asistente Administrativo y Gestión Humana,HEPTA PROYECTOS SAS,"Bogotá, D.C., Bogotá, D.C.",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-administrativo-y-gestion-humana-remoto-en-bogota-dc-E4B8A5335505A80161373E686DCF3405#lc=ListOffers-Score5-3
Auxiliar de postventa,Tiempos SAS,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-postventa-garantias-y-devoluciones-en-medellin-09C8C218CA6E512C61373E686DCF3405#lc=ListOffers-Score5-4
Auxiliar SST Medellín,ACTIVIDADES DE INSTALACIONES Y SERVICIOS COBRA S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-sst-medellin-en-medellin-8B7A25E15FC8000461373E686DCF3405#lc=ListOffers-Score5-5
Auxiliar Operativo  / Comercial,MEGALINEA S.A,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-operativo--comercial--medellin-en-medellin-08F9A1A57E08275C61373E686DCF3405#lc=ListOffers-Score5-6
auxiliar contable,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-en-medellin-AB05E7E143BB32B761373E686DCF3405#lc=ListOffers-Score5-7
Auxiliar de cartera,COMPLEMENTOS HUMANOS,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-cartera-en-medellin-D6BE01CDFDBE92F261373E686DCF3405#lc=ListOffers-Score5-8
Tecnóloga Auxiliar de cartera,Tiempos SAS,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnologa-auxiliar-de-cartera-en-medellin-8B74B9AE2A1B9A2D61373E686DCF3405#lc=ListOffers-Score5-9
Auxiliar de atencion al Usuario,The Parking S.A.S,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-atencion-al-usuario-centro-comercial-en-medellin-709EA520A831944F61373E686DCF3405#lc=ListOffers-Score5-10
Auxiliar de compras,"GESTION DE RECURSOS TEMPORALES S.A.S. ""GR TEMPORALES S.A.S.""","Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-compras-en-medellin-5429CAF7722D4CD261373E686DCF3405#lc=ListOffers-Score5-11
Auxiliar de aseo hospitalario,Importante empresa del sector salud,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-aseo-hospitalario-en-medellin-5E5AA61F6FD3EBB461373E686DCF3405#lc=ListOffers-Score5-12
Auxiliar Financiero,Jiro S.A.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-financiero-en-medellin-ED91DC939245285961373E686DCF3405#lc=ListOffers-Score5-13
Auxiliar de Caja y Tesorería Aeropuerto de Medellín,Airplan S.A.S.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-caja-y-tesoreria-aeropuerto-de-medellin-en-medellin-ED0D990609FAB10E61373E686DCF3405#lc=ListOffers-Score5-14
Auxiliar de facturación y recaudo,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-facturacion-y-recaudo-en-medellin-7DE6C889C240B20B61373E686DCF3405#lc=ListOffers-Score5-16
Auxiliar contable,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-en-medellin-B73F3627710D8D5561373E686DCF3405#lc=ListOffers-Score5-17
Auxiliar de cartera,Vinculamos S.A.S,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-cartera-medellin-en-medellin-CBF18347878036CD61373E686DCF3405#lc=ListOffers-Score5-18
Auxiliar de Servicio al Cliente Remoto,RIKLARMA SERVICIOS SAS,"Santander, Bucaramanga",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-servicio-al-cliente-remoto-con-o-sin-experiencia-administrativa-en-bucaramanga-A883863C6F6AE7A761373E686DCF3405#lc=ListOffers-Score5-19
Auxiliar contable,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-con-un-ano-de-experiencia-en-el-cargo-en-medellin-F984B7B79DAE15CF61373E686DCF3405#lc=ListOffers-Score5-0
Auxiliar de cartera y cobranza con exp de 1 año,Importante empresa del sector,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-cartera-y-cobranza-con-exp-de-1-ano-en-el-cargo-en-medellin-DFB442F257EAC12861373E686DCF3405#lc=ListOffers-Score5-1
Auxiliar de análisis de datos y mercadeo,Jiro S.A.,"Antioquia, Medellín",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-analisis-de-datos-y-mercadeo-1320-en-medellin-EB4E8E5E982669AB61373E686DCF3405#lc=ListOffers-Score5-2
